value_date,currency_pair,source,reference_rate
2026-07-22,AED/INR,FBIL,23.7982
2026-07-22,EUR/INR,FBIL,95.2031
2026-07-22,GBP/INR,FBIL,111.4881
2026-07-22,SGD/INR,FBIL,64.8040
2026-07-22,USD/INR,FBIL,87.4088
2026-07-23,AED/INR,FBIL,23.8060
2026-07-23,EUR/INR,FBIL,95.1918
2026-07-23,GBP/INR,FBIL,111.4963
2026-07-23,SGD/INR,FBIL,64.8105
2026-07-23,USD/INR,FBIL,87.4076
2026-07-24,AED/INR,FBIL,23.7997
2026-07-24,EUR/INR,FBIL,95.2064
2026-07-24,GBP/INR,FBIL,111.5067
2026-07-24,SGD/INR,FBIL,64.8246
2026-07-24,USD/INR,FBIL,87.4005
2026-07-25,AED/INR,FBIL,23.8048
2026-07-25,EUR/INR,FBIL,95.1980
2026-07-25,GBP/INR,FBIL,111.5097
2026-07-25,SGD/INR,FBIL,64.8366
2026-07-25,USD/INR,FBIL,87.3974
2026-07-26,AED/INR,FBIL,23.7946
2026-07-26,EUR/INR,FBIL,95.2006
2026-07-26,GBP/INR,FBIL,111.5241
2026-07-26,SGD/INR,FBIL,64.8410
2026-07-26,USD/INR,FBIL,87.4070
2026-07-27,AED/INR,FBIL,23.7945
2026-07-27,EUR/INR,FBIL,95.2023
2026-07-27,GBP/INR,FBIL,111.5384
2026-07-27,SGD/INR,FBIL,64.8271
2026-07-27,USD/INR,FBIL,87.4097
2026-07-28,AED/INR,FBIL,23.7963
2026-07-28,EUR/INR,FBIL,95.2143
2026-07-28,GBP/INR,FBIL,111.5286
2026-07-28,SGD/INR,FBIL,64.8300
2026-07-28,USD/INR,FBIL,87.4072
2026-07-29,AED/INR,FBIL,23.8092
2026-07-29,EUR/INR,FBIL,95.2286
2026-07-29,GBP/INR,FBIL,111.5329
2026-07-29,SGD/INR,FBIL,64.8155
2026-07-29,USD/INR,FBIL,87.4149
2026-07-30,AED/INR,FBIL,23.8148
2026-07-30,EUR/INR,FBIL,95.2245
2026-07-30,GBP/INR,FBIL,111.5275
2026-07-30,SGD/INR,FBIL,64.8179
2026-07-30,USD/INR,FBIL,87.4169
2026-07-31,AED/INR,FBIL,23.8268
2026-07-31,EUR/INR,FBIL,95.2271
2026-07-31,GBP/INR,FBIL,111.5393
2026-07-31,SGD/INR,FBIL,64.8301
2026-07-31,USD/INR,FBIL,87.4087
2026-08-01,AED/INR,FBIL,23.8241
2026-08-01,EUR/INR,FBIL,95.2234
2026-08-01,GBP/INR,FBIL,111.5466
2026-08-01,SGD/INR,FBIL,64.8221
2026-08-01,USD/INR,FBIL,87.4195
2026-08-02,AED/INR,FBIL,23.8192
2026-08-02,EUR/INR,FBIL,95.2335
2026-08-02,GBP/INR,FBIL,111.5506
2026-08-02,SGD/INR,FBIL,64.8173
2026-08-02,USD/INR,FBIL,87.4308
2026-08-03,AED/INR,FBIL,23.8094
2026-08-03,EUR/INR,FBIL,95.2263
2026-08-03,GBP/INR,FBIL,111.5452
2026-08-03,SGD/INR,FBIL,64.8118
2026-08-03,USD/INR,FBIL,87.4221
2026-08-04,AED/INR,FBIL,23.8115
2026-08-04,EUR/INR,FBIL,95.2155
2026-08-04,GBP/INR,FBIL,111.5396
2026-08-04,SGD/INR,FBIL,64.8025
2026-08-04,USD/INR,FBIL,87.4179
2026-08-05,AED/INR,FBIL,23.8228
2026-08-05,EUR/INR,FBIL,95.2240
2026-08-05,GBP/INR,FBIL,111.5310
2026-08-05,SGD/INR,FBIL,64.8099
2026-08-05,USD/INR,FBIL,87.4145
2026-08-06,AED/INR,FBIL,23.8361
2026-08-06,EUR/INR,FBIL,95.2372
2026-08-06,GBP/INR,FBIL,111.5414
2026-08-06,SGD/INR,FBIL,64.8146
2026-08-06,USD/INR,FBIL,87.4205
2026-08-07,AED/INR,FBIL,23.8402
2026-08-07,EUR/INR,FBIL,95.2396
2026-08-07,GBP/INR,FBIL,111.5332
2026-08-07,SGD/INR,FBIL,64.8131
2026-08-07,USD/INR,FBIL,87.4064
2026-08-08,AED/INR,FBIL,23.8370
2026-08-08,EUR/INR,FBIL,95.2336
2026-08-08,GBP/INR,FBIL,111.5332
2026-08-08,SGD/INR,FBIL,64.8115
2026-08-08,USD/INR,FBIL,87.4053
