invoice_id,invoice_date,order_id,customer_name,customer_country,currency,invoice_amount,invoice_status,purpose_code,shipping_bill_no,shipping_bill_date,realisation_deadline,realised_amount,notes
INV-2026-M00001,2026-08-21,order_dm2HrFGg2Bm7rK,Deccan Hardware Co,IN,INR,25482.53,ISSUED,,,,,,
INV-2026-M00002,2026-08-04,order_FZKQpAHQ5hoXVD,Sunrise Foods India,IN,INR,26650.88,ISSUED,,,,,,
INV-2026-M00003,2026-08-16,order_8aTC2njsnSLP0G,Bluewave Logistics,IN,INR,33819.51,ISSUED,,,,,,
INV-2026-M00004,2026-08-12,order_k46ETlhlAxVY6y,Sharma Retail LLP,IN,INR,39692.94,ISSUED,,,,,,
INV-2026-M00005,2026-08-18,order_zOmvGYGqJULREq,Deccan Hardware Co,IN,INR,36756.23,ISSUED,,,,,,
INV-2026-M00006,2026-07-31,order_x4Mr2zdwK9OpiU,Bluewave Logistics,IN,INR,36756.24,ISSUED,,,,,,
INV-2026-M00007,2026-08-20,order_ub2iz9jTGQOyD8,NORTHWIND SOFTWARE INC,US,USD,31345.52,ISSUED,P0805,6136068,2026-08-15,2027-05-12,,
INV-2026-M00008,2026-08-04,order_kNLNFPsC8pa9C9,KESTREL SYSTEMS LIMITED,GB,GBP,59706.13,ISSUED,P0805,9850941,2026-07-22,2027-04-18,,
INV-2026-M00009,2026-08-10,order_5UHrwn1oox8bS7,Deccan Hardware Co,IN,INR,30684.78,ISSUED,,,,,,
INV-2026-M00010,2026-08-17,order_nhlxzpaM33VA5W,KESTREL SYSTEMS LIMITED,GB,GBP,51159.37,PARTIALLY_REALISED,P0805,8525049,2025-12-29,2026-09-25,33667.98,EDPMS open: shipping bill not fully realised
INV-2026-M00011,2026-08-11,order_JDPWpALDw5EOXR,Sunrise Foods India,IN,INR,31176.24,ISSUED,,,,,,
INV-2026-M00012,2026-07-25,order_IBSV2pobHJYRxF,Bluewave Logistics,IN,INR,9889.26,ISSUED,,,,,,
INV-2026-M00013,2026-08-12,order_haSjF610fqyWmO,Bluewave Logistics,IN,INR,34665.89,ISSUED,,,,,,
INV-2026-M00014,2026-08-20,order_JoCZ23CfJyyGgI,Deccan Hardware Co,IN,INR,20606.08,ISSUED,,,,,,
INV-2026-M00015,2026-08-05,order_dGiMMXhi4f5LMW,Bluewave Logistics,IN,INR,14971.45,ISSUED,,,,,,
INV-2026-M00016,2026-08-05,order_YIZmbG4b8mgYDF,Sunrise Foods India,IN,INR,2993.38,ISSUED,,,,,,
INV-2026-M00017,2026-08-14,order_VofbADGRwXMHFW,HELIOS DATA BV,NL,EUR,55790.94,ISSUED,P0801,2659776,2026-08-05,2027-05-02,,
INV-2026-M00018,2026-07-27,order_yvYsRBKXTY3kdp,Deccan Hardware Co,IN,INR,28235.64,ISSUED,,,,,,
INV-2026-M00019,2026-08-12,order_E9mQXJp8IsYxTQ,Deccan Hardware Co,IN,INR,27265.81,ISSUED,,,,,,
INV-2026-M00020,2026-07-28,order_zbqqUtzrSZx34V,Sunrise Foods India,IN,INR,37853.77,ISSUED,,,,,,
INV-2026-M00021,2026-08-11,order_uampdpAPvadCwv,Deccan Hardware Co,IN,INR,18872.87,ISSUED,,,,,,
INV-2026-M00022,2026-07-30,order_DYDAE9zRMeZjTH,Deccan Hardware Co,IN,INR,2570.04,ISSUED,,,,,,
INV-2026-M00023,2026-08-14,order_LN7qD2FJCY3pm6,Sharma Retail LLP,IN,INR,676.78,ISSUED,,,,,,
INV-2026-M00024,2026-08-09,order_nfIjwhkJyuaFbr,Sunrise Foods India,IN,INR,24378.14,ISSUED,,,,,,
INV-2026-M00025,2026-08-12,order_NOfV041LjWuJFl,Bluewave Logistics,IN,INR,35792.67,ISSUED,,,,,,
INV-2026-M00026,2026-08-21,order_wrLjMvSZRg3Z35,HELIOS DATA BV,NL,EUR,13632.94,ISSUED,P0802,4174500,2026-08-18,2027-05-15,,
INV-2026-M00027,2026-08-02,order_87GRG4RfvO9HAN,Kanpur Textiles Pvt Ltd,IN,INR,8203.79,ISSUED,,,,,,
INV-2026-M00028,2026-07-30,order_zgC8ywBZugUZrP,Bluewave Logistics,IN,INR,1061.99,ISSUED,,,,,,
INV-2026-M00029,2026-07-31,order_O2UFA0ciz5NNXa,Sharma Retail LLP,IN,INR,1940.18,ISSUED,,,,,,
INV-2026-M00030,2026-08-19,order_5Wxdg97TJ5Vbp0,BRIDGEWORK ANALYTICS LLC,US,USD,21060.83,ISSUED,P0802,5205980,2026-08-16,2027-05-13,,
INV-2026-M00031,2026-08-01,order_NrelfEh01oFDJ0,Bluewave Logistics,IN,INR,19020.42,ISSUED,,,,,,
INV-2026-M00032,2026-08-14,order_OIm9UcH19xSGhW,Sunrise Foods India,IN,INR,32850.52,ISSUED,,,,,,
INV-2026-M00033,2026-07-25,order_UGTBecatbkyvdv,KESTREL SYSTEMS LIMITED,GB,GBP,52575.02,ISSUED,P1006,2633995,2026-07-21,2027-04-17,,
INV-2026-M00034,2026-08-03,order_xdQEZdlIMnP1yZ,Bluewave Logistics,IN,INR,1173.45,ISSUED,,,,,,
INV-2026-M00035,2026-08-15,order_FwFoa7jXhKmOT4,Sunrise Foods India,IN,INR,32064.38,ISSUED,,,,,,
INV-2026-M00036,2026-08-18,order_UF5wfBM7RwRO1N,Kanpur Textiles Pvt Ltd,IN,INR,17703.59,ISSUED,,,,,,
