entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,description,notes,payment_id,order_id,order_receipt,method,international,conversion_rate,base_amount,base_currency,refund_id
pay_HgPDLLNAyJwgqL,payment,0.00,24881.14,25482.53,INR,509.65,91.74,N,Y,2026-08-23,2026-08-25,setl_lBfnclOpWerO10,K5K6QMGFIJVEMVVH,Payment for INV-2026-M00001,INV-2026-M00001,pay_HgPDLLNAyJwgqL,order_dm2HrFGg2Bm7rK,INV-2026-M00001,upi,N,,25482.53,INR,
pay_YJ9IfeHfzj7pZu,payment,0.00,26021.92,26650.88,INR,533.02,95.94,N,Y,2026-08-14,2026-08-16,setl_RBw9erwztFHjsG,DLPIAFSS36XDYBX9,Payment for INV-2026-M00002,INV-2026-M00002,pay_YJ9IfeHfzj7pZu,order_FZKQpAHQ5hoXVD,INV-2026-M00002,netbanking,N,,26650.88,INR,
pay_h5CNYqWcpb7Ull,payment,0.00,33021.37,33819.51,INR,676.39,121.75,N,Y,2026-08-24,2026-08-26,setl_ZkaJ0x6iq3cGOZ,W2R9CDU6LDZ7G5CB,Payment for INV-2026-M00003,INV-2026-M00003,pay_h5CNYqWcpb7Ull,order_8aTC2njsnSLP0G,INV-2026-M00003,card,N,,33819.51,INR,
pay_ngzCfAnDK9gdTS,payment,0.00,38756.19,39692.94,INR,793.86,142.89,N,Y,2026-08-18,2026-08-20,setl_lmavHcmYTngV5s,VZU1MKT2D25E4XDH,Payment for INV-2026-M00004,INV-2026-M00004,pay_ngzCfAnDK9gdTS,order_k46ETlhlAxVY6y,INV-2026-M00004,upi,N,,39692.94,INR,
pay_cYpF0m1NfNho5d,payment,0.00,35888.79,36756.23,INR,735.12,132.32,N,Y,2026-08-24,2026-08-26,setl_NmPpS9Eus5hL6n,W663DOLPCNDXI6AH,Payment for INV-2026-M00005,INV-2026-M00005,pay_cYpF0m1NfNho5d,order_zOmvGYGqJULREq,INV-2026-M00005,upi,N,,36756.23,INR,
pay_NS2jYkTlS6aEtE,payment,0.00,35888.80,36756.24,INR,735.12,132.32,N,Y,2026-08-04,2026-08-06,setl_hnBbv1PsmFGOad,LU5VECAKB3UZVCP3,Payment for INV-2026-M00006,INV-2026-M00006,pay_NS2jYkTlS6aEtE,order_x4Mr2zdwK9OpiU,INV-2026-M00006,netbanking,N,,36756.24,INR,
pay_upX4xoHphyDnyU,payment,0.00,2640790.41,31345.52,USD,82131.16,14783.61,N,Y,2026-08-20,2026-08-22,setl_GgwBvnaWIpYuF0,QBE32J4EXCDI3AE1,Payment for INV-2026-M00007,INV-2026-M00007,pay_upX4xoHphyDnyU,order_ub2iz9jTGQOyD8,INV-2026-M00007,card,Y,87.3396,2737705.18,INR,
pay_JDbvXDuGN0jrMA,payment,0.00,6562156.57,59706.13,GBP,204089.46,36736.10,N,Y,2026-08-11,2026-08-13,setl_Hu4mfMFkk7HAEv,U6JX13OHXHRVN9HZ,Payment for INV-2026-M00008,INV-2026-M00008,pay_JDbvXDuGN0jrMA,order_kNLNFPsC8pa9C9,INV-2026-M00008,card,Y,113.9411,6802982.13,INR,
pay_hxWUITpdXbdSko,payment,0.00,29960.61,30684.78,INR,613.70,110.47,N,Y,2026-08-19,2026-08-21,setl_oE80VCEukVQnz6,I3V35UKT3S2FVOV8,Payment for INV-2026-M00009,INV-2026-M00009,pay_hxWUITpdXbdSko,order_5UHrwn1oox8bS7,INV-2026-M00009,netbanking,N,,30684.78,INR,
pay_wASKIOSAxm4CqA,payment,0.00,5495449.58,51159.37,GBP,170913.84,30764.49,N,Y,2026-08-24,2026-08-26,setl_HF8DWZ9mSVinoJ,EHXRVSH3EKMKD6UX,Payment for INV-2026-M00010,INV-2026-M00010,pay_wASKIOSAxm4CqA,order_nhlxzpaM33VA5W,INV-2026-M00010,card,Y,111.3604,5697127.91,INR,
pay_Zwd4hc92iZlWzP,payment,0.00,30440.49,31176.24,INR,623.52,112.23,N,Y,2026-08-15,2026-08-17,setl_A1J0Le9AftaQO2,ET93JSDHSFSIC7JT,Payment for INV-2026-M00011,INV-2026-M00011,pay_Zwd4hc92iZlWzP,order_JDPWpALDw5EOXR,INV-2026-M00011,upi,N,,31176.24,INR,
pay_mnlBEVrJR6ZXe6,payment,0.00,9655.87,9889.26,INR,197.79,35.60,N,Y,2026-08-02,2026-08-04,setl_OmLwm51Xz4yRN4,PUJSGPO2BV77F2H5,Payment for INV-2026-M00012,INV-2026-M00012,pay_mnlBEVrJR6ZXe6,order_IBSV2pobHJYRxF,INV-2026-M00012,netbanking,N,,9889.26,INR,
pay_3RO2oGkbL4oDBG,payment,0.00,33847.77,34665.89,INR,693.32,124.80,N,Y,2026-08-20,2026-08-22,setl_asmyltHCeB6ENR,P12U55UI7BQLM8ED,Payment for INV-2026-M00013,INV-2026-M00013,pay_3RO2oGkbL4oDBG,order_haSjF610fqyWmO,INV-2026-M00013,card,N,,34665.89,INR,
pay_l9v07Hwk5FPD5M,payment,0.00,20119.78,20606.08,INR,412.12,74.18,N,Y,2026-08-24,2026-08-26,setl_TqsD8vx3rhvztq,AAWJ56N32I3KT0ZR,Payment for INV-2026-M00014,INV-2026-M00014,pay_l9v07Hwk5FPD5M,order_JoCZ23CfJyyGgI,INV-2026-M00014,card,N,,20606.08,INR,
pay_pKNtj8JNmG8i0m,payment,0.00,14618.12,14971.45,INR,299.43,53.90,N,Y,2026-08-09,2026-08-11,setl_3TXHru74bzThdy,YJ14O1EJ10M80VDS,Payment for INV-2026-M00015,INV-2026-M00015,pay_pKNtj8JNmG8i0m,order_dGiMMXhi4f5LMW,INV-2026-M00015,card,N,,14971.45,INR,
pay_n8nrOC8Xlm7Yoe,payment,0.00,2922.73,2993.38,INR,59.87,10.78,N,Y,2026-08-14,2026-08-16,setl_YJ8OfhrhYM5z5A,IPPZWTVT9Q8MJHIS,Payment for INV-2026-M00016,INV-2026-M00016,pay_n8nrOC8Xlm7Yoe,order_YIZmbG4b8mgYDF,INV-2026-M00016,upi,N,,2993.38,INR,
pay_zOelCWyisFyXdR,payment,0.00,5132313.26,55790.94,EUR,159619.94,28731.59,N,Y,2026-08-14,2026-08-16,setl_mmFCZhUAC84w3f,YP1A4NRLJ2UTLK27,Payment for INV-2026-M00017,INV-2026-M00017,pay_zOelCWyisFyXdR,order_VofbADGRwXMHFW,INV-2026-M00017,card,Y,95.3679,5320664.79,INR,
pay_yXa0TT6ZhySAv8,payment,0.00,27569.28,28235.64,INR,564.71,101.65,N,Y,2026-08-06,2026-08-08,setl_bMs5dFgPSISNi9,234KSIOJCR0W532W,Payment for INV-2026-M00018,INV-2026-M00018,pay_yXa0TT6ZhySAv8,order_yvYsRBKXTY3kdp,INV-2026-M00018,upi,N,,28235.64,INR,
pay_7kfLfs0UKHcmaL,payment,0.00,26622.33,27265.81,INR,545.32,98.16,N,Y,2026-08-13,2026-08-15,setl_0CAIAVpFHffGdL,6T9ZVG6LMBUE4X3G,Payment for INV-2026-M00019,INV-2026-M00019,pay_7kfLfs0UKHcmaL,order_E9mQXJp8IsYxTQ,INV-2026-M00019,card,N,,27265.81,INR,
